pdf_page,chars,preview
1,494,"本信件依規定僅檢 查有無違禁物品， 並 来閲 讀 内 容 解釋憲法聲請書 聲 請 人 ： 地 址 ： 為刑法第79之 1條第5 項 ， 涉有抵觸憲法第8條人身自由及第2繁蘇游銜:凉則 等疑義， 爰依司法院大法官審理案件法第5條第1項第2 款及第8條第1項規 定 ， 聲請解釋憲法事"
2,948,"刑法第79之 1 條第5 項 ： 「 經撤銷假釋執行殘餘刑期者， 無期徒刑於執行滿二 十五年， 有期徒刑於全部執行完畢後， 再接續執行他刑， 第一項有關合併計算 執行期間之規定不適用之。」 參 、 聲請人之主張及立場 一 、 刑法笫79之 1條第5 項所涉及之憲法上基本權利 受假"
3,1081,"本信件依規定僅檢： ; 查看無達禁物品， | 並 来 閱讀 内 容 ] 經濟社會文化權利國際公 约 第10條規定「 家庭為社會之自然基本 團體單位， 應盡力給予保護與協助， 其成立及當其負責養護教育受 扶養之兒童時， 尤應予以保護與協助」 。 我國 释 字第712號解釋有 謂 「"
4,1154,"之嚴重性、 行為人所表現之危險性， 及對於行為人未來行為之期待 性相當。 槍砲彈藥刀械管制條例…不問對行為人有無預防矯治其社 會危險性之必要， 一律宣付強制工作三年， 限制其中不具社會危險 性之受處分人之身體、自由部分， 其所採措施與所欲達成預防矯治 之目的及所需程度， 不合憲法"
5,1130,"衣信件依僅 k _ ' 查有無達禁物品 . 、 ; j 並未 閲 讀 内 容 目的而侵害較小之手段可資運用， 雖得以刑罰規範限制人民身娌之 自由•惟刑罰對人身自由之限制與其所欲維護之法益， 仍須合乎比 例之關係， 尤其法定刑度之高低應與行為所生之危害、 行為人 贵 任 之輊重相稱"
6,1103,"查有無違禁物品， . 技未 閲 讀 内 •二 一定條件之例外確有其必要。 系爭條文於藥師不遠反前揭立法目的 之情形下， 或於有重大公益或緊急情況之需要時， 一律禁止藥師於 其他處所執行苳種不同之藥事業務， 未設必要合理之例外規定， 已 對藥師執行職業自由形成不必要之限制， 有遠憲"
7,1174,"服殘刑25年過苛， 故裁量不撤銷假釋， 但對原犯輕罪所餘殘刑幾月或 幾年者不過苛， 而撤銷假釋之情形， 反生輕重失衡更大不公平！ 」 、 「 除了刑法第79條之1 才是本件原因案件之療結,應併納入考量， 才 能公平解決問題外， 另假釋制度最為人話病者在相關程序不透明， 6 同 樣"
8,1323,"表信件依規定僅檢| 查有無達禁物品’ 並未 酽 二 按公政公約第7 條明文： 「 任何人不得施以酷刑， 或予以殘忍、 不 人道或侮辱之處遇或懲罰。 非經本人自願同意， 尤不得對任何人作 醫學或科學試驗。 」且按《 公民與政治權利國際公約及經濟社會文 化權利國際公約施行法》 （ 下"
9,1093,"I 鲎 有無違禁 杨 品 . ;筮未 閲 讀 内 容; Brenan 則以死刑犯於執行前漫長等待所造成之精神痛苦， 構成死 刑不可分割之一部分， 作為認定死刑制度違憲之理由。 4 . 本案及其他遭到撤銷假 释 之無期徒刑受刑人， 雖並非死刑犯， 實務 上長期監禁之情況， 卻猶如讓"
10,916,"本信件依規定 丨查看無違於 並未 胪 2 . 刑法第2 條第3 項之立法精神 刑法第2 條第3 項規定： 「 處罰或保安處分之裁判確定後， 未執行 或執行未完畢， 而法律有變更， 不處罰其行為或不施以保安處分者， 免其刑或保安處分之執行。 」 如法律變更， 仍處罰其行為但法定刑 "
11,42,"i 各信件皈規定僅女 I 查有無遠禁物品• 丨 並 未 閱 讀 内 容； 聲請人"
12,0,""
13,511,"d 瑞 奋 ■ 截 - 函 QF 1 把 穴 -:fe 會 色 登 搜 TnJ _ 瘦也編 夺 於失 敢茫遂拍撤奇溶 . > 去:跑上■ ) 、金如 @ ^勹 Ig ) ( j ^ . 达 . ； 萆 蔡 /、斤 德 7 S — f 走身 敌 . \ 〇 r m ） 龜 ^ & "
14,377,"土 V f T V 清 愈 戾 1簡司 1 ^ . ^ ： ^ S - 核止1—矣 ， ^ S ~ $ i 3^ • 上 义 T 1 人 ^ 5 i ( ^ . J ^ W V ^ C 拉 tlEL 、 兔 声 ■ 纏 霞 愛 . 老 块 箭 , 齡 ) 聲 任 康 g p 故 "
15,407,"依違 : 板， 命 也 品 士 l A . 並 閲 I l 悔 痛 革、 塏 € c 也 咖 瓚 s ， v ^ 亦 fi ) ® © igi ® Q 顿 rl «l 〇 貴 §v 鄉 • # 1 ® 9 , > — ■&.H^f? 4 kj fel 谰 扪 ® r ? ® f "
16,565,"'ID iQr ^ . CL ( ^ | ( ^ . ji ^ i . , 涵1 爱 蕾 辑 志 . 鈮 1 显 、 薇 丨 Q 二 迄 , _ 人 c g i n 1 ^ f e ^ p . ^ . f \ s fl A il M fi? i n . t S > & ^ 4 ^"
17,420,"ID ix ： ^： , 織 、 符 A 靈 吟 ， 仍 ◎ 風 犯 电 戰 」 (^^i 人- ) t I ^ ( ' f ^ S f ^/ C 、 ^ q c^Sy ' T 笨 、 褒 _ (〇 疋。 谢 間因 扪 . 魚妒 . 雅£1 吞0 gfl 徒: IfU 之魯色 J"
18,444,"經」 H 备訂 . 被荒§ 7 T 、 襄 ^: 换 4系 S i (£ ) 魏苟蝴彳茇 A 丨上 . 隐 漁高 g 3〇 S l -如正， 取牲13 . 斉蓮 ) 武 亞客、 t e 二 g ) : XL 探:禮 语 . 酿 德亦1 未 蓉 3 鶴油⑦能瘦膝免 盘 丨 S^L "
19,192,"一 S j 一 定物 一規秦讀 : 依達 值品 V. 閲 内 -1 M ^ S 屮 9 3 卜S O 辟 财 頌 ® 'W 藏 參 ^ ■ I 6 sr 4- ^ m e 结 版 i s d Q i v 滅 蜘 隹 , — 3 心 一_*I i 0 / il s # _ Jt ^"
20,460,"C 薪 姑 垒 1 鸯 外 魂 剖 . 娈 ' 成 3 靣 澈、 尸 ? •疏雜\， 泵 浪 $ 丨窗 IS 惠忒20 響 論 互“ 在 ） p 二欠與泛 f c 输 軌 x ^ 於 m 趨 7 ' 4 fe 德 L • 镑 登氣■赤而 良 .' : m ■ 半 iUfe (妃 "
