pdf_page,chars,preview
1,457,"抄臺灣花蓮地方法院刑事第五庭法官吳志強釋憲聲請書 壹 、 聲請解釋之目的 一、 按憲法為國家最高規範， 法律牴觸憲法者無效， 法律與憲法有無 牴觸發疑義而須予以解釋時， 由司法院大法官掌理， 此觀憲法第 171條 、 第 173條 、 第78條及第79條第2 項有明文規定。 又法"
2,464,"各該事件或案件之訴訟或非訟程序之裁定停止在 内 ， 裁定停止訴 訟或非訟程序， 乃法官聲請釋憲必須遵循之程序。 又所謂「 先決 問題」係指審理原因案件之法院， 確信系爭法律違憲， 顯然於該 案件之裁判結果有影響者而言； 所謂「 提出客觀上形成確信法律 違憲之具體理由」， 係指聲請"
3,605,"一方與第三人間之性行為應為如何之限制， 以及違反此項限制， 應否以罪刑相加， 各國情不同， 應由立法機關衡酌定之。 刑法 第二百三十九條對於通姦者、 相姦者處一年以下有期徒刑之規定 ， 固對人民之性行為自由有所限制， 惟此為維護婚姻、 家庭制度 及社會生活秩序所必要。 為免此項限"
4,906,"月間： 因妨害婚姻及家庭罪案件經檢察官以刑法第239條起訴之 人數 ： 女性均高於男性； 有罪法條為刑法第239條之裁判確定有罪 人數 ■•女性均高於男性2， 論者進而指出外遇之男性相較於外遇之 妻子與第三者較少受到通姦罪之懲罰， 通姦罪之規定固然性別中立 ， 但在性別不平等的現"
5,657,"情形， 對配偶撤回告訴其效力不及於相姦人， 以致於我國刑法第2 39條於司法實務之運用實態， 誠因我國社會文化脈絡已有造成性 別上之差別對待， 且適用該條規定時未能就不同事物為合理之差別 對待， 進而存有違反憲法第 7 條及鈞院釋字第 485 號解釋所揭橥 實質平等原則 之虞； "
6,537,"之個人性行為自由及憲法第23條比例原則與婚姻、 家庭制度之價 值作出權衡判斷， 然作為概括基本權條款之 憲法第 2 條 ， 除性行 為自由外， 尚涵括鈞院於 釋字第585號解釋理由書 所言及： 基於 人性尊嚴與個人主體性之維護及人格發展之完整， 並為保障個人生 活秘密空間免於他人"
7,574,"貳 、 疑義性質與經過， 及涉及之憲法條文 一 、 本院受理107年度原易字第89號妨害家庭 案件，該案係臺灣花 蓮地方法院檢察署檢察官以107年度偵字第64號提起公訴， 其 聲請之犯罪事實略以 ：被告李 〇 明知余 〇 為有配偶之人 ， 然 被告李 〇 、 余 〇 竟仍各自基於"
8,529,"方面， 難以期待刑法規定通姦罪後便能達到抑制通姦行為之效果 ， 另一方面刑法第239條之法定刑僅規定有期徒刑， 儼然違背個 人責任及刑事處罰間之罪刑相當原則。 當民事法規定幾經修法妥 為規範後， 採取刑事處罰已違反手段之適切性及最小侵害性， 是 刑法第239條 「 有配偶而與人通"
9,690,"機關連性的機能6， 刑法規範的具體適用必須考慮刑事訴訟法之 規定及其運用之實態。 ( 二 ） 查94年起至103年之近十年間， 地方法院檢察署辦理妨害婚姻 及 家庭罪案件中 ， 女性起訴比率較男性高 2 . 7 個百分點、 而男性 不起訴比率較女性高2 . 4個百分點， 且 10"
10,744,"( 1)女多於男之情形主要來自男女外遇態度有相當偏見， 此乃因 社會文化價值使然， 而社會文化價值有其結構上之穩固， 非短時 間所能改變； （ 2)而通姦罪已屬違反性別實質平等之處罰， 依照 消除對婦女一切形式歧視公約 （ CEDAW )第2條 ( g )廢止本國刑法 内 構成對"
11,504,"情， 以及 （ 3)想要解除既存婚姻或尚未離婚但現實上長期分居者與 第三人為性行為之情形， 對於 ( 3)之類型， 其責任之非難可能性與 反社會性非常輕微， 且亦無以通姦罪處罰來達到維繫婚姻關係之 目的， 然而， 現行刑法第239條關於通姦罪之規定， 不區分刑種 之選擇， 忽略具"
12,574,"揭露其個人資料、 及在何種範圍 内 、 於何時、 以何種方式、 向 何人揭露之決定權， 並保障人民對其個人資料之使用有知悉與 控制權及資料記載錯誤之更正權。 隱私權雖係基於維護人性尊 嚴與尊重人格自由發展而形成， 惟其限制並非當然侵犯人性尊 嚴 。 憲法對個人資訊隱私權之保護亦非"
13,615,"展之完整， 並為保障個人生活私密領域免於他人侵擾及個人資 料之自主控制， 基於此項個人自主控制個人資料之資訊隱私權 保障， 人民自有決定是否揭露其個人資料、 及在何種範圍 内 、 於何時、 以何種方式、 向何人揭露之決定權 ， 對國家如此， 對 已婚配偶之雙方亦然。 人民作為憲法"
14,671,"曾針對口交是否成立通姦罪召開法律問題座談會11， 結論上基於 罪刑法定原則之精神， 認定「 姦淫」行為並不宜擴張至刑法修 正後之「 性交」行為， 此一決議立場則是嚴格限縮對於通姦罪 證據之認定方式， 當通姦行為限於「 姦淫」行為時， 恐無法僅 根據採證之保險套或殘留精液的衛生紙等"
15,622,"一般均認為係國民一般道德觀念， 而所謂道德觀念與保障社會 上不特定人或多數人之生命、 身體、自由或財產等 内 容之法益 有所出入， 此為「 無被害人之犯罪」則有除罪化之必要“ 。 惟此 無被害人之犯罪的證明方式卻無形中助長一般人採取侵害個人 隱私權來達成， 實則刑法第239條規定"
16,735,"( 二 ） 而就適當性原則部分， 立法者欲藉刑法之威嚇、 懲罰阻止婚外性 行為對於婚姻關係的傷害， 由於婚姻關係必須非常依賴情感與信 賴才能維持的關係， 而刑罰是透過賦予痛苦的方式來處理犯罪問 題 ， 對個案中之人際關係影響經常是有害無益， 利用刑罰予以維 繫難有正面意義， 且常"
17,580,"立場， 並非是忽略婚姻與家庭制度對社會安定之重要性，相反 地乃是承認刑法在此一任務上的極限， 告訴世人維護家庭與婚姻 制度更重要的是夫妻雙方應認真且積極地經營婚姻關係， 並提醒 未婚之男女面對家庭與婚姻制度時所應具備更謹慎之態度， 不要 一昧地依賴刑法所建構的秩序假象18。 爰此"
18,883,"通姦罪， 德國亦已於1969年廢除通姦罪， 為公眾週知之事。而與我 國同為東亞民主國家之韓國，自日本殖民時起， 於 1912年4 月1 日 施行之制令第11號的朝鮮刑事令，日本舊刑法第183條 「 對與有夫 之婦相姦者， 處 2 年以下的懲役」為其適用之通姦罪後， 殖民地解放 後"
19,570,"所謂法律強制道德之疑慮21。 婚姻、 家庭秩序之維繫必須仰賴雙方彼 此付出之情感與信賴才能建構良善的關係， 立法者欲以刑罰之科賦來 達成， 只是讓夫或妻之一方與外遇之該方彼此間以話語、 舉動作為互 相傷害的利器以及避免受到傷害而自我防護的鎧曱， 通姦罪之存在不 僅促使當代社會重視"
20,485,"4 . 邱忠義， 「 以自主隱私權之侵害評析我國通姦罪之處罰」 ， 輔仁法學 第46期 ， 2013年 12月 。 5 . 林慈偉， 「 通姦除罪化思維於我國司法實務之實踐-以高等、 地方 法院近年相關裁判為中心」 ， 軍法專刊第58卷第5期 ，2012年 10月 。 6 . 柏"
21,722,"1 . 大野平吉， 「 刑法社会学 o —構想」 ， 收錄於鈴木茂嗣編， 「 平場安 治博士還曆祝 贺 -現代 刃 刑事法学 （ 上 ） 」 ， 有斐閣， 1977年 。 2 . 平川宗信， 「 刑法各論」 ， 有斐閣， 1995年 。 3 . 竹野富之厂7 k —社会 K 妇汁"
22,51,"司 法 院 聲請人： 臺灣花蓮地方法院法官吳志強_$ & 中華民國丨 〇 7年斗月以曰 此 致 2"
