pdf_page,chars,preview
1,680,"釋字第七二 七 號解釋 部分協同 意見書 大法官湯德宗 提出 聲請人楊熙榮等六人為高雄巿自治新村之眷戶。緣國防 部為辦理該村改建，於中華民國九十二年五月二十三日依相 關規定舉辦輔導該村遷購翠華二期國宅說明會，備具說明書， 說明原眷戶如同意遷購，應於說明會後三個月內，填具申請 書，"
2,594,"所適用之 八十五年二月五日制定公布之國軍老舊眷村改建 條例 （下稱眷改條例）第二十二條規定 ： 「規劃改建之眷村， 其原眷戶有四分之三以上同意改建者， 對不同意改建之眷戶， 主管機關得逕行註銷其眷舍居住憑證及原眷戶權益 ，收回該 房地，並得移送管轄之地方法院裁定後強制執行」（九十"
3,885,"一、 本 號解釋 乃 據 「 平等原則 」 （ 而非「平等權」 ） 作成 解釋 憲法第七條規 定 ：「中華民國人民，無分男女、宗教、種 族、階級、黨派，在法律上一律平等」 ，一般多以「平等權」 稱之，本院大法官解釋先例 5 亦然。因第七條位列憲法第二 章（人民之權利義務）之首，以"
4,1156,"軍人與榮民所為之「 特殊優惠措施 ， 與一般國民所取得之權 8 9 利或法律上利益有間 ， 遑論為憲法所保障之權利 「配 住眷舍」既非憲法所保障之基本權 10 ，本件聲請人自不得主 張憲法上之「平等權」。 惟，解釋理由書第一段並援引本院釋字第四五七號解釋， 明確釋示：「國家機關為"
5,958,"1 立法與司法 。 是故聲請人雖不得主張憲法上之「平等權」， 立法機關行使職權（制定法律）仍須遵循「平等原則」，違 憲審查機關亦應依「平等原則」審查系爭規定。 因「平等權」與「平等原則」實際常處於競合狀態，故 實務上兩者常相互混用，鮮有區別；本案則為少見之割裂狀 態 - 人民（聲"
6,614,"會房舍土地處理要點第四點第三項有違男女平等原則？ 兩 者論證有無矛盾？此處涉及本院關於「平等原則」之審查操 12 作，尤其是「審查基準」之選擇問題，應予申論。 1. 釋字第四五七號解釋 時本院 尚未確立 平等原則／平等權 之 審查 架構 本號解釋理由書第一段即開宗明義，揭示審查原"
7,651,"2. 兩號解釋所採取之審查基準（審查密度） 亦 不 相 同 綜觀本號解釋理由書第一段之 原則宣示（「立法機關就 各種社會給付之優先順序、規範目的、受益人範圍、給付方 式及額度等有關規定，自有充分之形成自由，得斟酌對人民 保護照顧之需求及國家財政狀況等因素，制定法律，將福利 資源為"
8,660,"釋字第六九六號解釋亦鑒於「婚姻與家庭」於憲法上之重要 性，而認該案系爭規定所形成之差別待遇是否違反平等原則， 亦應受「較為嚴格之審查」。本號解釋則將「眷舍配住」，一 如釋字第四五七號解釋之將「 農地配耕」，定性為「使用借 貸關係之福利措施 」，不承認申請人有憲法上之權利得主張 「"
9,727,"之（生理）特徵」 (imutable characteristics) ？或依各該社會 之生活經驗觀之 ， 是否為反映某種「刻板印象」 (stereotype) 之「社會烙印」 (social stigma) ？或是否針對實際上無法有效 參與政治之 「孤立而隔絕之少數」 (dis"
10,557,"亦有「無謀生能力，而有輔導照顧之 」，顯已逾越「低 標」之審查範圍。 釋字第四五七號解釋所以提升審查基準 （採「中標」 審查），或與「男女平等」乃憲法第七條所例示之「可疑 分 類」 (suspect clasification) 有關。本院解釋先例對於何謂「可 疑分類」，特別是 "
11,539,"3 ）對於因無力負擔自備款而拒絕改建之極少數原眷戶，應 為如何之特別處理，亦未有例外規定。 依本席理解，前兩項例示旨在提醒有關機關注意檢討有 無體系內法益失衡之不正義情形，並未諭知應為特定之處理。 蓋如何改正違反平等之狀態（如究應刪除原有賦予權利之規 定，或將受不利對待者納入目前"
