pdf_page,chars,preview
1,488,"釋字第六九四號解釋不同意見書 大法官 陳春生 池啟明 黃璽君 本號解釋就所得稅法第十七條第一項第一款第四目規 定：「納稅義務人其他親屬或家屬，合於民法第一千一百一 十四條第四款及第一千一百二十三條第三項之規定，未滿二 使納稅義務人對特定 親屬或家屬盡其法定扶養義務。本院既將其定性"
2,797,"探討。415 號解釋之前提為系爭所得稅法第十七條第一項第 1 一款第四目規定合憲 。儘管其解對象為施行細則，但若此前 提不存在，則皮之不存毛將焉附，即無須解釋相關施行細則 2 。相對地，主張所得稅法 第十七條第一項第一款本文之規定牽涉生存權者認為，納稅 是否合憲問題?再者，415"
3,510,"於立法者不可處置、不可任意剝奪，維持人民最低生存需求 3 所必須之額度 。兩種定性，對立法者之要求不同，因此本號 解釋實無法迴避 415 號解釋所已表示之對系爭規定性之見 解。 使納稅義務人對特定親屬或家 3 參考柯格鐘，前揭論文，頁 278 。 3 貳 以平等原則為審查基準很難"
4,966,"屬盡其法定扶養義務。本院既將其定性為稅捐之優惠，因此 以年齡劃定免稅額適用之範圍，乃屬立法者之形成自由。 4 首次使用立法裁量用語以 來，該語詞與其他用語如立法形成自由、立法政策事項、基 5 。一般而言，司法對立法不 作為之審查，必須比司法對立法積極作為行為審查有更為嚴 6 。比"
5,536,"不作為之合憲性加以審查，此不啻荒誕無稽之行為，但現在 學界、實務界則大體承認立法不作為也可能成為司法審查之 對象。只是對於立法不作為要比立法作為其成立要件更嚴 5 格，如須有立法義務存在、立法義務之違反須持續相當期間 等。 本號解釋之結論，某種角度乃對於滿二十歲而未滿六十 歲以上"
6,564,"滿二十歲而未滿六十歲無謀生能力者生存或生活上之維 持。故系爭規定所形成之差別待遇是否違反平等原則，應採 7 。又相同見解亦有認為，考量納 稅人的個人主觀情況，反應納稅人的主觀納稅能力，就納稅 8 。上述見解固有其見地，惟其牽涉兩個問題點： 1. 系爭規定之基本權利主體，亦即生存權"
7,528,"號解釋關於免稅額定性為租稅優惠者，其實亦是仁智之 見，因為： （一）我國立法者對於所得課稅，究竟是以個人，或以家戶 為課稅單位?此影響對免稅額之定位，亦即論者對受 扶養之親屬或家屬角度，從生存權角度論述，似隱含 從納稅義務人以及其親屬家屬整體成員為單位論述 7 之，然則，系爭規定"
8,507,"「系爭規定影響納稅義務人扶養較為年長而未滿六 十歲之其他親屬或家屬之意願，致此等親屬或家屬可 ，不是可以免稅之人。按照一般見解，平等 原則牽涉對事的審查，應比對人之審查寬鬆。因此， 能無法獲得扶養，此與鼓勵國人孝親之目的有違」 8 扶養未滿二十歲或滿六十歲無謀生能力的人才可以 云"
9,730,"肆 平等原則為審查基準之審查過程導入比例原則之可能 與必要 從本號解釋理由書可看出，類似外國法上對平等原則審 查密度所採之以平等原則審查並導入比例原則為審查基準 9 。 在我國，有關平等之審查標準，本院較少與憲法第二十 三條連結思考，而事實上對於平等保護原則之問題，通常可 係一種"
10,112,"伍 結語 本院釋字第 415 號解釋儘管有不同解讀，惟就其認為包 含前述系爭規定之個人所得稅免稅額規定，其性質乃屬稅捐 優惠之見解，值得肯定。 又以平等原則為審查基準之審查過程導入比例原則係 可能，且依情況亦有必要。 10"
